"stateuts","totalcases","lead_rank","lag_rank"
"Lakshadweep",10404,21683,NULL
"Ladakh",21683,7688,10404
"Andaman&Nicobar",7688,32359,21683
"Sikkim",32359,10683,7688
"DamanDiu",10683,65481,32359
"Chandigarh",65481,136362,10683
"Mizoram",136362,179125,65481
"Goa",179125,129056,136362
"Puducherry",129056,55288,179125
"ArunachalPradesh",55288,32136,129056
"Nagaland",32136,125328,55288
"Manipur",125328,84574,32136
"Meghalaya",84574,84853,125328
"Tripura",84853,227483,84574
"HimachalPradesh",227483,344345,84853
"Uttarakhand",344345,337646,227483
"JammuKashmir",337646,1441295,344345
"Delhi",1441295,771797,337646
"Haryana",771797,603451,1441295
"Punjab",603451,1006942,771797
"Chhattisgarh",1006942,5161471,603451
"Kerala",5161471,617475,1006942
"Assam",617475,676787,5161471
"Telengana",676787,349317,617475
"Jharkhand",349317,1050060,676787
"Odisha",1050060,2997643,349317
"Karnataka",2997643,827659,1050060
"Gujarat",827659,954874,2997643
"Rajasthan",954874,2729792,827659
"TamilNadu",2729792,793232,954874
"Madhya Pradesh",793232,2073576,2729792
"AndhraPradesh",2073576,1618637,793232
"WestBengal",1618637,6638071,2073576
"Maharashtra",6638071,726231,1618637
"Bihar",726231,1710451,6638071
"UttarPradesh",1710451,NULL,726231
