"stateuts","active","discharged","sum"
NULL,NULL,344061,349317
NULL,326,993023,1006942
NULL,2179,1039461,1050060
NULL,7656,1591447,1618637
NULL,180,761563,771797
NULL,322,1415875,1441295
NULL,8070,2685203,2729792
NULL,116,1687424,1710451
NULL,10803,6486105,6638071
NULL,800,222831,227483
NULL,394,175344,179125
NULL,22,714119,726231
NULL,294,126887,129056
NULL,1731,331436,337646
NULL,7041,2952378,2997643
NULL,213,945706,954874
NULL,326,817239,827659
NULL,362,122985,125328
NULL,347,586496,603451
NULL,3555,132302,136362
NULL,142,782562,793232
NULL,2551,608808,617475
NULL,3779,669010,676787
NULL,2149,2056979,2073576
NULL,173,336761,344345
NULL,44427,5075605,5161471
NULL,115,344061,349317
NULL,116,NULL,1710451
NULL,347,NULL,603451
NULL,2551,NULL,617475
NULL,294,NULL,129056
NULL,7656,NULL,1618637
NULL,8070,NULL,2729792
NULL,394,NULL,179125
NULL,322,NULL,1441295
NULL,213,NULL,954874
NULL,180,NULL,771797
NULL,362,NULL,125328
NULL,115,NULL,349317
NULL,22,NULL,726231
NULL,3779,NULL,676787
NULL,7041,NULL,2997643
NULL,3555,NULL,136362
NULL,173,NULL,344345
NULL,10803,NULL,6638071
NULL,326,NULL,1834601
NULL,2179,NULL,1050060
NULL,142,NULL,793232
NULL,1731,NULL,337646
NULL,44427,NULL,5161471
NULL,800,NULL,227483
NULL,2149,NULL,2073576
NULL,NULL,5075605,5161471
NULL,NULL,2685203,2729792
NULL,NULL,331436,337646
NULL,NULL,175344,179125
NULL,NULL,336761,344345
NULL,NULL,132302,136362
NULL,NULL,993023,1006942
NULL,NULL,782562,793232
NULL,NULL,1039461,1050060
NULL,NULL,2056979,2073576
NULL,NULL,1591447,1618637
NULL,NULL,817239,827659
NULL,NULL,761563,771797
NULL,NULL,945706,954874
NULL,NULL,714119,726231
NULL,NULL,1415875,1441295
NULL,NULL,608808,617475
NULL,NULL,126887,129056
NULL,NULL,2952378,2997643
NULL,NULL,6486105,6638071
NULL,NULL,1687424,1710451
NULL,NULL,122985,125328
NULL,NULL,222831,227483
NULL,NULL,669010,676787
NULL,NULL,586496,603451
NULL,NULL,NULL,34228106
"WestBengal",NULL,NULL,1618637
"WestBengal",7656,1591447,1618637
"WestBengal",7656,NULL,1618637
"WestBengal",NULL,1591447,1618637
"UttarPradesh",116,1687424,1710451
"UttarPradesh",NULL,NULL,1710451
"UttarPradesh",NULL,1687424,1710451
"UttarPradesh",116,NULL,1710451
"Uttarakhand",NULL,336761,344345
"Uttarakhand",173,336761,344345
"Uttarakhand",173,NULL,344345
"Uttarakhand",NULL,NULL,344345
"Telengana",3779,NULL,676787
"Telengana",3779,669010,676787
"Telengana",NULL,NULL,676787
"Telengana",NULL,669010,676787
"TamilNadu",8070,2685203,2729792
"TamilNadu",8070,NULL,2729792
"TamilNadu",NULL,2685203,2729792
"TamilNadu",NULL,NULL,2729792
"Rajasthan",213,NULL,954874
"Rajasthan",NULL,945706,954874
