"state","female","male","transgender"
"UttarPradesh",61813000,68985639,55691
"Maharashtra",45251307,52900810,18972
"WestBengal",38369910,39358041,13608
"Bihar",34291021,33908609,15309
"MadhyaPradesh",33441465,37292752,14724
"Karnataka",32465459,32876785,11281
"Gujarat",32054275,38640113,12107
"Rajasthan",30233279,32390969,12795
"TamilNadu",30195079,28689087,11002
"AndhraPradesh",28512084,24829350,10061
"Kerala",20195500,18759852,9484
"Odisha",18499429,18786714,8705
"Telangana",15920902,16342331,6136
"Assam",13974026,14262457,4159
"Haryana",11673510,14208015,5315
"Chhattisgarh",11118672,11070564,2731
"Punjab",10133051,12045450,2811
"Jharkhand",9689659,10871476,4803
"Delhi",8610966,11864176,5864
"JammuKashmir",6455150,8199876,2732
"Uttarakhand",5526095,5845617,4426
"HimachalPradesh",4501835,4653578,2060
"Tripura",2032135,2096701,621
"Goa",982602,1190822,216
"Manipur",929014,1039318,514
"Meghalaya",833814,911039,236
"Chandigarh",631442,841346,228
"Mizoram",610225,613149,238
"Puducherry",588847,549257,240
"ArunachalPradesh",588794,717263,304
"Nagaland",525893,674120,189
"Sikkim",440512,532405,355
"DamanDiu",336682,694108,216
"AndamanNicobar",230901,263182,75
"Ladakh",152822,208215,41
"Lakshadweep",47216,53858,6
