"state","totaldose"
"UttarPradesh",130860760
"Maharashtra",98174486
"WestBengal",77751913
"MadhyaPradesh",70749983
"Gujarat",70707604
"Bihar",68221609
"Karnataka",65356145
"Rajasthan",62642544
"TamilNadu",58898573
"AndhraPradesh",53352150
"Kerala",38964842
"Odisha",37297553
"Telangana",32270957
"Assam",28241258
"Haryana",25887839
"Chhattisgarh",22194955
"Punjab",22181687
"Jharkhand",20572294
"Delhi",20481040
"JammuKashmir",14660544
"Uttarakhand",11376359
"HimachalPradesh",9157518
"Tripura",4129806
"Goa",2173682
"Manipur",1968849
"Meghalaya",1745094
"Chandigarh",1473016
"ArunachalPradesh",1306361
"Mizoram",1223626
"Nagaland",1200216
"Puducherry",1138277
"DamanDiu",1031008
"Sikkim",973272
"AndamanNicobar",494158
"Ladakh",361078
"Lakshadweep",101080
