"state","population"
"AndamanNicobar",400000
"AndhraPradesh",52787000
"ArunachalPradesh",1533000
"Assam",35043000
"Bihar",123083000
"Chandigarh",1208000
"Chhattisgarh",29493000
"DamanDiu",1078000
"Delhi",20571000
"Goa",1559000
"Gujarat",69788000
"Haryana",29483000
"HimachalPradesh",7394000
"JammuKashmir",13408000
"Jharkhand",38471000
"Karnataka",66845000
"Kerala",35489000
"Ladakh",297000
"Lakshadweep",68000
"MadhyaPradesh",84516000
"Maharashtra",124437000
"Manipur",3165000
"Meghalaya",3288000
"Mizoram",1216000
"Nagaland",2192000
"Odisha",44033000
"Puducherry",1572000
"Punjab",30339000
"Rajasthan",79281000
"Sikkim",677000
"TamilNadu",76402000
"Telangana",37725000
"Tripura",4071000
"UttarPradesh",230907000
"Uttarakhand",11399000
"WestBengal",98125000
