"state","migrated","totalcases"
"Maharashtra",6463932,6620423
"Kerala",4929153,5034858
"Karnataka",2944669,2990856
"Tamil Nadu",2665178,2711584
"AndhraPradesh",2051440,2069066
"Uttar Pradesh",1687240,1710236
"West Bengal",1573520,1600732
"Delhi",1414751,1440230
"Odisha",1033344,1044428
"Chhattisgarh",992435,1006245
"Rajasthan",945473,954471
"Gujarat",816521,826826
"MadhyaPradesh",782319,792924
"Haryana",761200,771368
"Bihar",716446,726144
"Telangana",665272,672987
"Assam",603747,613061
"Punjab",585838,602647
"Jharkhand",343660,348948
"Uttarakhand",336430,343974
"JammuKashmir",327812,333490
"Himachal Pradesh",220368,225319
"Goa",174734,178399
"Puducherry",126167,128302
"Manipur",121586,124250
"Mizoram",120522,126917
"Tripura",83685,84635
"Meghalaya",82163,83942
"Chandigarh",64531,65373
"Arunachal Pradesh",54875,55202
"Sikkim",31550,32074
"Nagaland",31096,31960
"Ladakh",20749,21087
"DamanDiu",10678,10682
"Lakshadweep",10314,10365
"AndamanNicobar",7527,7665
