"state","active","population"
"Kerala",44427,34698876
"Maharashtra",10803,124904071
"TamilNadu",8070,83697770
"WestBengal",7656,100896618
"Karnataka",7041,69599762
"Telengana",3779,38157311
"Mizoram",3555,1308967
"Assam",2551,35998752
"Odisha",2179,47099270
"AndhraPradesh",2149,91702478
"JammuKashmir",1731,14999397
"HimachalPradesh",800,7503010
"Goa",394,1521992
"Manipur",362,3436948
"Punjab",347,30501026
"Chhattisgarh",326,32199722
"Gujarat",326,70400153
"Delhi",322,19301096
"Ladakh",298,290492
"Puducherry",294,1646050
"Meghalaya",246,3772103
"Rajasthan",213,79502477
"Sikkim",213,658019
"Haryana",180,28900667
"Uttarakhand",173,11700099
"Madhya Pradesh",142,85002417
"Nagaland",126,2073074
"UttarPradesh",116,231502578
"Jharkhand",115,40100376
"Tripura",91,4184959
"Chandigarh",60,1158040
"ArunachalPradesh",32,1711947
"Bihar",22,128500364
"Lakshadweep",10,66001
"Andaman&Nicobar",6,399001
"DamanDiu",0,773997
