"cases_smoothed","totalcases","stateuts","deaths"
7688.0,7688,"Andaman&Nicobar",129
2073576.0,2073576,"AndhraPradesh",14448
55288.0,55288,"ArunachalPradesh",280
617475.0,617475,"Assam",6116
726231.0,726231,"Bihar",12090
65481.0,65481,"Chandigarh",820
1006942.0,1006942,"Chhattisgarh",13593
10683.0,10683,"DamanDiu",4
1441295.0,1441295,"Delhi",25098
179125.0,179125,"Goa",3387
827659.0,827659,"Gujarat",10094
771797.0,771797,"Haryana",10054
227483.0,227483,"HimachalPradesh",3852
337646.0,337646,"JammuKashmir",4479
349317.0,349317,"Jharkhand",5141
2997643.0,2997643,"Karnataka",38224
5161471.0,5161471,"Kerala",41439
21683.0,21683,"Ladakh",215
10404.0,10404,"Lakshadweep",51
793232.0,793232,"Madhya Pradesh",10528
6638071.0,6638071,"Maharashtra",141163
125328.0,125328,"Manipur",1981
84574.0,84574,"Meghalaya",1475
136362.0,136362,"Mizoram",505
32136.0,32136,"Nagaland",699
1050060.0,1050060,"Odisha",8420
129056.0,129056,"Puducherry",1875
603451.0,603451,"Punjab",16608
954874.0,954874,"Rajasthan",8955
32359.0,32359,"Sikkim",405
2729792.0,2729792,"TamilNadu",36519
676787.0,676787,"Telengana",3998
84853.0,84853,"Tripura",825
344345.0,344345,"Uttarakhand",7411
1710451.0,1710451,"UttarPradesh",22911
1618637.0,1618637,"WestBengal",19534
